Object Name,Satellite of,Equatorial Radius [m],<--References,Mean Radius [m],<--References,Mass [kg],<--References,Bulk Density [kg m-3],<--References,Semimajor Axis [m],<--References,Sidereal Rotation Period [s],<--References,Sidereal Orbit Period (Negative Indicates Retrograde) [s],<--References,Inclination (Relative to Primary's Equator)[deg],<--References,Eccentricity,<--References,Axial Tilt [deg],<-- References,Magnitude [mag],Magnitude Band [UBVRI],<--References,Geometric Albedo,<--References,Mean Gravity [m s-2],<--References,Equatorial Gravity [m-2],<--References,Escape Velocity [m s-1],<--References,Perihelion [m],<-- References,Aphelion [m],<-- References,Luminosity [J s-1],<-- References,Orbital Motion [rad s-1],<--References,Beta Parameter [kg m-1 s-2],<-- References,Core Radius [m],<--References,Mantle Thickness [m],<-- References
Sol,,6.963E+08,"Emilio, M.; Kuhn, J. R.; Bush, R. I.; Scholl, I. F. (2012). ""Measuring the Solar Radius from Space during the 2003 and 2006 Mercury Transits"". The Astrophysical Journal 750 (2): 135. arXiv:1203.4898.",6.960E+08,http://nssdc.gsfc.nasa.gov/planetary/factsheet/sunfact.html (Accessed 2-17-15),1.989E+30,http://nssdc.gsfc.nasa.gov/planetary/factsheet/sunfact.html (Accessed 2-17-15),,,,,,,,,,,,,,,-26.74,V,http://nssdc.gsfc.nasa.gov/planetary/factsheet/sunfact.html (Accessed 2-17-15),,,2.740E+02,JPR Derived; Big-G used: http://physics.nist.gov/cgi-bin/cuu/Value?bg|search_for=gravitational,2.740E+02,http://nssdc.gsfc.nasa.gov/planetary/factsheet/sunfact.html (Accessed 2-17-15),6.177E+05,"""Solar System Exploration: Planets: Sun: Facts & Figures"". NASA. Archived from the original on 2 January 2008.",,,,,3.846E+26,"Williams, D. R. (1 July 2013). ""Sun Fact Sheet"". NASA. Retrieved 12 August 2013.",,,,,,,,
Mercury,Sol,2.440E+06,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Seidelmann, P.K. et al. 2007. ""Report of the IAU/IAG Working Group on cartographic coordinates and rotational elements: 2006"" Celestial Mech. Dyn. Astr. 98:155-180.",2.440E+06,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Seidelmann, P.K. et al. 2007. ""Report of the IAU/IAG Working Group on cartographic coordinates and rotational elements: 2006"" Celestial Mech. Dyn. Astr. 98:155-180.",3.301E+23,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Anderson, J.D., et al. 1987. ""The mass, gravity field, and ephemeris of Mercury"" Icarus 71:337-349. ",5.427E+03,http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Derived ,5.791E+10,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-17-15),5.067E+06,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Seidelmann, P.K. et al. 2007. ""Report of the IAU/IAG Working Group on cartographic coordinates and rotational elements: 2006"" Celestial Mech. Dyn. Astr. 98:155-180.",7.600E+06,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Explanatory Supplement to the Astronomical Almanac. 1992. K. P. Seidelmann, Ed., p.706 (Table 15.8) and p.316 (Table 5.8.1), University Science Books, Mill Valley, California.",7.00,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),0.21,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),0.01,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),-0.60,V0,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Hilton, J.L. 2005. ""Improving the Visual Magnitudes of the Planets in The Astronomical Almanac. I. Mercury and Venus"" Astron. J 129:2902-2906.",1.060E-01,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Explanatory Supplement to the Astronomical Almanac. 1992. K. P. Seidelmann, Ed., p.706 (Table 15.8) and p.316 (Table 5.8.1), University Science Books, Mill Valley, California.",3.701E+00,JPR Derived; Big-G used: http://physics.nist.gov/cgi-bin/cuu/Value?bg|search_for=gravitational,3.700E+00,http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Derived ,4.250E+03,http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Derived ,4.600E+10,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),69800000000,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),,,8.267E-07,JPR Derived,4.901E+10,JPR Derived,,,,
Venus,Sol,6.052E+06,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Seidelmann, P.K. et al. 2007. ""Report of the IAU/IAG Working Group on cartographic coordinates and rotational elements: 2006"" Celestial Mech. Dyn. Astr. 98:155-180.",6.052E+06,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Seidelmann, P.K. et al. 2007. ""Report of the IAU/IAG Working Group on cartographic coordinates and rotational elements: 2006"" Celestial Mech. Dyn. Astr. 98:155-180.",4.867E+24,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15);   Konopliv, A.S., et al. 1999. ""Venus gravity: 180th degree and order model"" Icarus 139:3-18.",5.243E+03,http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Derived ,1.082E+11,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-17-15),-2.100E+07,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Seidelmann, P.K. et al. 2007. ""Report of the IAU/IAG Working Group on cartographic coordinates and rotational elements: 2006"" Celestial Mech. Dyn. Astr. 98:155-180.",1.941E+07,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Explanatory Supplement to the Astronomical Almanac. 1992. K. P. Seidelmann, Ed., p.706 (Table 15.8) and p.316 (Table 5.8.1), University Science Books, Mill Valley, California.",3.40,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),0.01,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),177.40,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),-4.47,V0,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Hilton, J.L. 2005. ""Improving the Visual Magnitudes of the Planets in The Astronomical Almanac. I. Mercury and Venus"" Astron. J 129:2902-2906.",6.500E-01,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Explanatory Supplement to the Astronomical Almanac. 1992. K. P. Seidelmann, Ed., p.706 (Table 15.8) and p.316 (Table 5.8.1), University Science Books, Mill Valley, California.",8.869E+00,JPR Derived; Big-G used: http://physics.nist.gov/cgi-bin/cuu/Value?bg|search_for=gravitational,8.870E+00,http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Derived ,1.036E+04,http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Derived ,1.075E+11,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),1.089E+11,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),,,3.236E-07,JPR Derived,2.814E+11,JPR Derived,,,,
Earth,Sol,6.378E+06,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Seidelmann, P.K. et al. 2007. ""Report of the IAU/IAG Working Group on cartographic coordinates and rotational elements: 2006"" Celestial Mech. Dyn. Astr. 98:155-180.",6.371E+06,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Seidelmann, P.K. et al. 2007. ""Report of the IAU/IAG Working Group on cartographic coordinates and rotational elements: 2006"" Celestial Mech. Dyn. Astr. 98:155-180.",5.972E+24,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Folkner, W.M. and Williams, J.G. 2008. ""Mass parameters and uncertainties in planetary ephemeris DE421."" Interoffice Memo. 343R-08-004 (internal document), Jet Propulsion Laboratory, Pasadena, CA.",5.513E+03,http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Derived ,1.496E+11,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-17-15),8.616E+04,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Explanatory Supplement to the Astronomical Almanac. 1992. K. P. Seidelmann, Ed., p.706 (Table 15.8) and p.316 (Table 5.8.1), University Science Books, Mill Valley, California.",3.156E+07,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Explanatory Supplement to the Astronomical Almanac. 1992. K. P. Seidelmann, Ed., p.706 (Table 15.8) and p.316 (Table 5.8.1), University Science Books, Mill Valley, California.",0.00,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),0.02,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),23.40,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),-3.86,V0,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Explanatory Supplement to the Astronomical Almanac. 1992. K. P. Seidelmann, Ed., p.706 (Table 15.8) and p.316 (Table 5.8.1), University Science Books, Mill Valley, California.",3.670E-01,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Explanatory Supplement to the Astronomical Almanac. 1992. K. P. Seidelmann, Ed., p.706 (Table 15.8) and p.316 (Table 5.8.1), University Science Books, Mill Valley, California.",9.820E+00,JPR Derived; Big-G used: http://physics.nist.gov/cgi-bin/cuu/Value?bg|search_for=gravitational,9.800E+00,http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Derived ,1.119E+04,http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Derived ,1.471E+11,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),1.521E+11,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),,,1.991E-07,JPR Derived,3.449E+11,JPR Derived,,,,
Mars,Sol,3.396E+06,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Seidelmann, P.K. et al. 2007. ""Report of the IAU/IAG Working Group on cartographic coordinates and rotational elements: 2006"" Celestial Mech. Dyn. Astr. 98:155-180.",3.390E+06,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Seidelmann, P.K. et al. 2007. ""Report of the IAU/IAG Working Group on cartographic coordinates and rotational elements: 2006"" Celestial Mech. Dyn. Astr. 98:155-180.",6.417E+23,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Jacobson, R.A. 2008. ""Ephemerides of the Martian Satellites - MAR080"" Interoffice Memo. 343R-08-006 (internal document), Jet Propulsion Laboratory, Pasadena, CA.",3.934E+03,http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Derived ,2.279E+11,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-17-15),8.864E+04,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Seidelmann, P.K. et al. 2007. ""Report of the IAU/IAG Working Group on cartographic coordinates and rotational elements: 2006"" Celestial Mech. Dyn. Astr. 98:155-180.",5.935E+07,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Explanatory Supplement to the Astronomical Almanac. 1992. K. P. Seidelmann, Ed., p.706 (Table 15.8) and p.316 (Table 5.8.1), University Science Books, Mill Valley, California.",1.90,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),0.09,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),25.20,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),-1.52,V0,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Explanatory Supplement to the Astronomical Almanac. 1992. K. P. Seidelmann, Ed., p.706 (Table 15.8) and p.316 (Table 5.8.1), University Science Books, Mill Valley, California.",1.500E-01,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Explanatory Supplement to the Astronomical Almanac. 1992. K. P. Seidelmann, Ed., p.706 (Table 15.8) and p.316 (Table 5.8.1), University Science Books, Mill Valley, California.",3.728E+00,JPR Derived; Big-G used: http://physics.nist.gov/cgi-bin/cuu/Value?bg|search_for=gravitational,3.710E+00,http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Derived ,5.030E+03,http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Derived ,2.066E+11,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),2.492E+11,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),,,1.059E-07,JPR Derived,4.971E+10,JPR Derived,,,,
Jupiter,Sol,7.149E+07,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Seidelmann, P.K. et al. 2007. ""Report of the IAU/IAG Working Group on cartographic coordinates and rotational elements: 2006"" Celestial Mech. Dyn. Astr. 98:155-180.",6.991E+07,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Seidelmann, P.K. et al. 2007. ""Report of the IAU/IAG Working Group on cartographic coordinates and rotational elements: 2006"" Celestial Mech. Dyn. Astr. 98:155-180.",1.898E+27,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15);  Jacobson, R.A. 2005. ""Jovian Satellite ephemeris - JUP230"" private communication.",1.326E+03,http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Derived ,7.786E+11,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-17-15),3.573E+04,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Seidelmann, P.K. et al. 2007. ""Report of the IAU/IAG Working Group on cartographic coordinates and rotational elements: 2006"" Celestial Mech. Dyn. Astr. 98:155-180.",3.743E+08,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Explanatory Supplement to the Astronomical Almanac. 1992. K. P. Seidelmann, Ed., p.706 (Table 15.8) and p.316 (Table 5.8.1), University Science Books, Mill Valley, California.",1.30,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),0.05,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),3.10,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),-9.40,V0,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Explanatory Supplement to the Astronomical Almanac. 1992. K. P. Seidelmann, Ed., p.706 (Table 15.8) and p.316 (Table 5.8.1), University Science Books, Mill Valley, California.",5.200E-01,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Explanatory Supplement to the Astronomical Almanac. 1992. K. P. Seidelmann, Ed., p.706 (Table 15.8) and p.316 (Table 5.8.1), University Science Books, Mill Valley, California.",2.592E+01,JPR Derived; Big-G used: http://physics.nist.gov/cgi-bin/cuu/Value?bg|search_for=gravitational,2.479E+01,http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Derived ,6.020E+04,http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Derived ,7.405E+11,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),8.166E+11,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),,,1.678E-08,JPR Derived,2.403E+12,JPR Derived,,,,
Saturn,Sol,6.027E+07,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Seidelmann, P.K. et al. 2007. ""Report of the IAU/IAG Working Group on cartographic coordinates and rotational elements: 2006"" Celestial Mech. Dyn. Astr. 98:155-180.",5.823E+07,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Seidelmann, P.K. et al. 2007. ""Report of the IAU/IAG Working Group on cartographic coordinates and rotational elements: 2006"" Celestial Mech. Dyn. Astr. 98:155-180.",5.683E+26,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Jacobson, R.A., et al. 2006. ""The gravity field of the Saturnian system from satellite observations and spacecraft tracking data"" AJ 132(6):2520-2526.",6.871E+02,http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Derived ,1.434E+12,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-17-15),3.836E+04,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Seidelmann, P.K. et al. 2007. ""Report of the IAU/IAG Working Group on cartographic coordinates and rotational elements: 2006"" Celestial Mech. Dyn. Astr. 98:155-180.",9.293E+08,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Explanatory Supplement to the Astronomical Almanac. 1992. K. P. Seidelmann, Ed., p.706 (Table 15.8) and p.316 (Table 5.8.1), University Science Books, Mill Valley, California.",2.50,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),0.06,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),26.70,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),-8.88,V0,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Explanatory Supplement to the Astronomical Almanac. 1992. K. P. Seidelmann, Ed., p.706 (Table 15.8) and p.316 (Table 5.8.1), University Science Books, Mill Valley, California.",4.700E-01,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Explanatory Supplement to the Astronomical Almanac. 1992. K. P. Seidelmann, Ed., p.706 (Table 15.8) and p.316 (Table 5.8.1), University Science Books, Mill Valley, California.",1.119E+01,JPR Derived; Big-G used: http://physics.nist.gov/cgi-bin/cuu/Value?bg|search_for=gravitational,1.044E+01,http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Derived ,3.609E+04,http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Derived ,1.353E+12,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),1.5145E+12,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),,,6.761E-09,JPR Derived,4.475E+11,JPR Derived,,,,
Uranus,Sol,2.556E+07,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Seidelmann, P.K. et al. 2007. ""Report of the IAU/IAG Working Group on cartographic coordinates and rotational elements: 2006"" Celestial Mech. Dyn. Astr. 98:155-180.",2.536E+07,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Seidelmann, P.K. et al. 2007. ""Report of the IAU/IAG Working Group on cartographic coordinates and rotational elements: 2006"" Celestial Mech. Dyn. Astr. 98:155-180.",8.681E+25,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Jacobson, R.A. 2007. ""The gravity field of the Uranian system and the orbits of the Uranian satellites and rings"" BAAS 39(3):453.",1.270E+03,http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Derived ,2.872E+12,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-17-15),-6.206E+04,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Seidelmann, P.K. et al. 2007. ""Report of the IAU/IAG Working Group on cartographic coordinates and rotational elements: 2006"" Celestial Mech. Dyn. Astr. 98:155-180.",2.651E+09,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Explanatory Supplement to the Astronomical Almanac. 1992. K. P. Seidelmann, Ed., p.706 (Table 15.8) and p.316 (Table 5.8.1), University Science Books, Mill Valley, California.",0.80,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),0.05,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),97.80,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),-7.19,V0,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Explanatory Supplement to the Astronomical Almanac. 1992. K. P. Seidelmann, Ed., p.706 (Table 15.8) and p.316 (Table 5.8.1), University Science Books, Mill Valley, California.",5.100E-01,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Explanatory Supplement to the Astronomical Almanac. 1992. K. P. Seidelmann, Ed., p.706 (Table 15.8) and p.316 (Table 5.8.1), University Science Books, Mill Valley, California.",9.007E+00,JPR Derived; Big-G used: http://physics.nist.gov/cgi-bin/cuu/Value?bg|search_for=gravitational,8.870E+00,http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Derived ,2.138E+04,http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Derived ,2.741E+12,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),3.0036E+12,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),,,2.370E-09,JPR Derived,2.901E+11,JPR Derived,,,,
Neptune,Sol,2.476E+07,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Seidelmann, P.K. et al. 2007. ""Report of the IAU/IAG Working Group on cartographic coordinates and rotational elements: 2006"" Celestial Mech. Dyn. Astr. 98:155-180.",2.462E+07,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Seidelmann, P.K. et al. 2007. ""Report of the IAU/IAG Working Group on cartographic coordinates and rotational elements: 2006"" Celestial Mech. Dyn. Astr. 98:155-180.",1.024E+26,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Jacobson, R.A. 2008. ""The orbits of the Neptunian satellites and the orientation of the pole of Neptune"" BAAS 40(2):296.",1.638E+03,http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Derived ,4.495E+12,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-17-15),5.800E+04,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Seidelmann, P.K. et al. 2007. ""Report of the IAU/IAG Working Group on cartographic coordinates and rotational elements: 2006"" Celestial Mech. Dyn. Astr. 98:155-180.",5.200E+09,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Explanatory Supplement to the Astronomical Almanac. 1992. K. P. Seidelmann, Ed., p.706 (Table 15.8) and p.316 (Table 5.8.1), University Science Books, Mill Valley, California.",1.80,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),0.01,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),28.30,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),-6.87,V0,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Explanatory Supplement to the Astronomical Almanac. 1992. K. P. Seidelmann, Ed., p.706 (Table 15.8) and p.316 (Table 5.8.1), University Science Books, Mill Valley, California.",4.100E-01,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Explanatory Supplement to the Astronomical Almanac. 1992. K. P. Seidelmann, Ed., p.706 (Table 15.8) and p.316 (Table 5.8.1), University Science Books, Mill Valley, California.",1.127E+01,JPR Derived; Big-G used: http://physics.nist.gov/cgi-bin/cuu/Value?bg|search_for=gravitational,1.115E+01,http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Derived ,2.356E+04,http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Derived ,4.445E+12,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),4.5457E+12,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),,,1.208E-09,JPR Derived,4.547E+11,JPR Derived,,,,
Pluto,Sol,1.151E+06,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Tholen, D.J. and Buie, M.W. 1990. ""Further Analysis of Pluto-Charon Mutual Event Observations"" BAAS 22(3):1129.",1.151E+06,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Tholen, D.J. and Buie, M.W. 1990. ""Further Analysis of Pluto-Charon Mutual Event Observations"" BAAS 22(3):1129.",1.309E+22,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15);  Jacobson, R.A. 2007. ""The orbits of the satellites of Pluto - Ephemeris PLU017"" private communication.",2.050E+03,http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Derived ,5.906E+12,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-17-15),-5.519E+05,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Seidelmann, P.K. et al. 2007. ""Report of the IAU/IAG Working Group on cartographic coordinates and rotational elements: 2006"" Celestial Mech. Dyn. Astr. 98:155-180.",7.824E+09,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Explanatory Supplement to the Astronomical Almanac. 1992. K. P. Seidelmann, Ed., p.706 (Table 15.8) and p.316 (Table 5.8.1), University Science Books, Mill Valley, California.",17.20,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),0.24,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),122.50,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),-1.00,V0,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Explanatory Supplement to the Astronomical Almanac. 1992. K. P. Seidelmann, Ed., p.706 (Table 15.8) and p.316 (Table 5.8.1), University Science Books, Mill Valley, California.",3.000E-01,"http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Explanatory Supplement to the Astronomical Almanac. 1992. K. P. Seidelmann, Ed., p.706 (Table 15.8) and p.316 (Table 5.8.1), University Science Books, Mill Valley, California.",6.594E-01,JPR Derived; Big-G used: http://physics.nist.gov/cgi-bin/cuu/Value?bg|search_for=gravitational,6.600E-01,http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Derived ,1.230E+03,http://ssd.jpl.nasa.gov/?planet_phys_par (Accessed 2-14-15); Derived ,4.435E+12,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),7.3043E+12,http://nssdc.gsfc.nasa.gov/planetary/factsheet/ (Accessed 2-16-15),,,8.031E-10,JPR Derived,1.556E+09,JPR Derived,,,,
