Object Name,Satellite of,Equatorial Radius [m],Mean Radius [m],Mass [kg],Bulk Density [kg m-3],Semimajor Axis [m],Sidereal Rotation Period [s],Sidereal Orbit Period (Negative Indicates Retrograde) [s],Inclination (Relative to Primary's Equator)[deg],Eccentricity,Axial Tilt [deg],Magnitude [mag],Magnitude Band [UBVRI],Geometric Albedo,Mean Gravity [m s-2],Equatorial Gravity [m-2],Escape Velocity [m s-1],Perihelion [m],Aphelion [m],Luminosity [J s-1],Orbital Motion [rad s-1],Beta Parameter [kg m-1 s-2],Core Radius [m],Mantle Thickness [m]
Sol,,6.96E+08,6.96E+08,1.99E+30,,,,,,,,-26.74,V,,2.74E+02,2.74E+02,6.18E+05,,,3.85E+26,,,,
Mercury,Sol,2.44E+06,2.44E+06,3.30E+23,5.43E+03,5.79E+10,5.07E+06,7.60E+06,7,0.21,0.01,-0.6,V0,1.06E-01,3.70E+00,3.70E+00,4.25E+03,4.60E+10,69800000000,,8.27E-07,4.90E+10,,
Venus,Sol,6.05E+06,6.05E+06,4.87E+24,5.24E+03,1.08E+11,-2.10E+07,1.94E+07,3.4,0.01,177.4,-4.47,V0,6.50E-01,8.87E+00,8.87E+00,1.04E+04,1.08E+11,1.09E+11,,3.24E-07,2.81E+11,,
Earth,Sol,6.38E+06,6.37E+06,5.97E+24,5.51E+03,1.50E+11,8.62E+04,3.16E+07,0,0.02,23.4,-3.86,V0,3.67E-01,9.82E+00,9.80E+00,1.12E+04,1.47E+11,1.52E+11,,1.99E-07,3.45E+11,,
Mars,Sol,3.40E+06,3.39E+06,6.42E+23,3.93E+03,2.28E+11,8.86E+04,5.94E+07,1.9,0.09,25.2,-1.52,V0,1.50E-01,3.73E+00,3.71E+00,5.03E+03,2.07E+11,2.49E+11,,1.06E-07,4.97E+10,,
Jupiter,Sol,7.15E+07,6.99E+07,1.90E+27,1.33E+03,7.79E+11,3.57E+04,3.74E+08,1.3,0.05,3.1,-9.4,V0,5.20E-01,2.59E+01,2.48E+01,6.02E+04,7.41E+11,8.17E+11,,1.68E-08,2.40E+12,,
Saturn,Sol,6.03E+07,5.82E+07,5.68E+26,6.87E+02,1.43E+12,3.84E+04,9.29E+08,2.5,0.06,26.7,-8.88,V0,4.70E-01,1.12E+01,1.04E+01,3.61E+04,1.35E+12,1.51E+12,,6.76E-09,4.48E+11,,
Uranus,Sol,2.56E+07,2.54E+07,8.68E+25,1.27E+03,2.87E+12,-6.21E+04,2.65E+09,0.8,0.05,97.8,-7.19,V0,5.10E-01,9.01E+00,8.87E+00,2.14E+04,2.74E+12,3.00E+12,,2.37E-09,2.90E+11,,
Neptune,Sol,2.48E+07,2.46E+07,1.02E+26,1.64E+03,4.50E+12,5.80E+04,5.20E+09,1.8,0.01,28.3,-6.87,V0,4.10E-01,1.13E+01,1.12E+01,2.36E+04,4.45E+12,4.55E+12,,1.21E-09,4.55E+11,,
Pluto,Sol,1.15E+06,1.15E+06,1.31E+22,2.05E+03,5.91E+12,-5.52E+05,7.82E+09,17.2,0.24,122.5,-1,V0,3.00E-01,6.59E-01,6.60E-01,1.23E+03,4.44E+12,7.30E+12,,8.03E-10,1.56E+09,,
Ceres,Sol,4.87E+05,4.76E+05,9.43E+20,2.09E+03,4.14E+11,3.27E+04,1.45E+08,10.593,0.075823,3,6.64,,0.09,2.78E-01,2.65E-01,5.10E+02,3.83E+11,4.45E+11,,4.32E-08,2.76E+08,,
Moon,Earth,1.74E+06,1.74E+06,7.35E+22,3.34E+03,3.84E+08,2.36E+06,2.36E+06,23.43,0.05,6.69,-12.74,V0,1.20E-01,1.62E+00,,,,,,2.66E-06,9.44E+09,,
Phobos,Mars,,1.11E+04,1.07E+16,1.87E+03,9.38E+06,2.76E+04,2.76E+04,1.08,0.02,,11.4,V0,7.10E-02,5.77E-03,,,,,,2.28E-04,1.20E+05,,
Deimos,Mars,,6.20E+03,1.48E+15,1.47E+03,2.35E+07,2.76E+04,2.76E+04,1.79,0,,12.45,V0,6.80E-02,2.56E-03,,,,,,2.28E-04,2.34E+04,,
